DK_NAME[시설명],DK_BRIEF_NAME[시설약칭],EVENT_GUBUN[이벤트 분류],EVENT_NAME[이벤트 명],RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 1월 핸드볼팀 훈련,2016-01-01,2016-01-19,16,570,354
우리금융아트홀 연습실,,문화예술행사,기획대관 나무야나무야(1월),2016-01-01,2016-01-31,31,3151,3151
KSPO DOME(체조경기장),제1체육관,문화예술행사,이승철 팬미팅,2016-01-02,2016-01-05,4,6000,
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,2016-01-04,2016-02-29,57,58727,
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,2016-01-04,2016-02-29,57,58727,58727
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,2016-01-04,2016-02-29,57,58727,58727
KSPO DOME(체조경기장),제1체육관,문화예술행사,콘서트 <그날들>,2016-01-06,2016-01-09,4,10500,
핸드볼경기장,핸드볼경기장,문화예술행사,올바른 의료문화를 위한 강연회,2016-01-09,2016-01-09,1,5000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,제5회 가온차트 K-pop Awards,2016-01-10,2016-01-13,4,8000,
핸드볼경기장,핸드볼경기장,문화예술행사,GOT7 ♥ I GOT7 2ND FAN MEETING(갓세븐 팬미팅),2016-01-15,2016-01-17,3,3500,3079
올림픽홀,올림픽홀,문화예술행사,배우 박보검 팬미팅,2016-01-16,2016-01-16,1,3000,
올림픽홀,올림픽홀,대중공연,Mercedes Benz New Year&apos;s Concert 2016,2016-01-21,2016-01-24,4,2200,
핸드볼경기장,핸드볼경기장,체육행사,2016 대학핸드볼선수권대회,2016-01-22,2016-01-26,5,0,
올림픽홀,올림픽홀,대중공연,N.C.T SHOWCASE,2016-01-24,2016-01-25,2,1500,
KSPO DOME(체조경기장),제1체육관,문화예술행사,제25회 서울가요대상,2016-01-24,2016-01-28,5,7000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,BIGBANG(빅뱅) 2016 MADE TOUR IN SEOUL 앵콜 공연,2016-01-25,2016-02-01,8,28000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,iKON 2016 CONCERT,2016-01-25,2016-02-01,8,26000,18135
KSPO DOME(체조경기장),제1체육관,문화예술행사,BIGBANG 2016 MADE TOUR IN SEOUL 앵콜공연,2016-01-25,2016-02-01,8,14000,
올림픽홀,올림픽홀,대중공연,2016 에프엑스 f(x) 첫번째 콘서트,2016-01-26,2016-02-01,7,8000,8450
뮤즈라이브,뮤즈라이브,문화예술행사,소울스타 콘서트,2016-01-28,2016-01-31,4,400,620
우리금융아트홀 연습실,,문화예술행사,기획대관 나무야나무야(2월),2016-02-01,2016-02-29,29,3000,156
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 2월 핸드볼팀 훈련,2016-02-02,2016-02-29,20,840,487
핸드볼경기장,핸드볼경기장,문화예술행사,2016 세븐틴 콘서트,2016-02-10,2016-02-10,1,3500,
올림픽홀,올림픽홀,대중공연,2016 홍광호 콘서트,2016-02-10,2016-02-14,5,7500,
핸드볼경기장,핸드볼경기장,문화예술행사,2016 세븐틴 콘서트,2016-02-10,2016-02-15,6,3400,7130
KSPO DOME(체조경기장),제1체육관,문화예술행사,2015-16 브라운아이드소울 전국투어 콘서트 in 서울,2016-02-10,2016-02-15,6,16000,13899
올림픽홀,올림픽홀,대중공연,메르세데스 벤츠(Mercedes Benz) New Year's Concert 2016,2016-02-11,2016-02-13,3,2200,
핸드볼경기장,핸드볼경기장,문화예술행사,미카(MIKA) 내한공연,2016-02-11,2016-02-14,4,4000,
올림픽홀,올림픽홀,대중공연,제5회 가온차트 K-POP 어워드,2016-02-14,2016-02-17,4,4000,2890
핸드볼경기장,핸드볼경기장,문화예술행사,B.A.P LIVE ON EARTH 2016,2016-02-15,2016-02-22,8,7700,5610
KSPO DOME(체조경기장),제1체육관,문화예술행사,인피니트 2nd World Tour INFINITE EFFECT 앵콜,2016-02-15,2016-02-22,8,21000,20028
핸드볼경기장,핸드볼경기장,문화예술행사,미카(MIKA) 내한공연,2016-02-18,2016-02-21,4,4000,
올림픽홀,올림픽홀,대중공연,2016 엠씨더맥스 8집 앨범 발매 기념 콘서트,2016-02-18,2016-02-22,5,5000,5030
뮤즈라이브,뮤즈라이브,문화예술행사,하모니시스트 이예영의 첫 단독콘서트,2016-02-20,2016-02-20,1,237,122
